scian_codigo,scian_nivel,scian_titulo,serio_sector,serio_nombre,evidence_type,status,priority,mapping_type,source,justification,reviewed_by,review_date,notes,crosswalk_version,scian_version,serio_version,generated_at,generated_by
49,SECTOR,"Transportes, correos y almacenamiento",,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 49 ('Transportes, correos y almacenamiento') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 491 (Servicios postales), 492 (Servicios de mensajería y paquetería), 493 (Servicios de almacenamiento). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,"Sin candidato único: El sector SCIAN 49 ('Transportes, correos y almacenamiento') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 491 (Servicios postales), 492 (S",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
51,SECTOR,Información en medios masivos,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 51 ('Información en medios masivos') agrupa 6 subsectores que corresponden a 6 sectores SERIO distintos y económicamente heterogéneos entre sí: 511 (Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión), 512 (Industria fílmica y del video, e industria del sonido), 515 (Radio y televisión), 517 (Telecomunicaciones), 518 (Procesamiento electrónico de información, hospedaje y otros servicios relacionados), 519 (Otros servicios de información). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,"Sin candidato único: El sector SCIAN 51 ('Información en medios masivos') agrupa 6 subsectores que corresponden a 6 sectores SERIO distintos y económicamente heterogéneos entre sí: 511 (Edición de periódicos, revistas, li",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
52,SECTOR,Servicios financieros y de seguros,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 52 ('Servicios financieros y de seguros') agrupa 5 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 521 (Banca central), 522 (Instituciones de intermediación crediticia y financiera no bursátil), 523 (Actividades bursátiles, cambiarias y de inversión financiera), 524 (Compañías de seguros, fianzas, y administración de fondos para el retiro). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,"Sin candidato único: El sector SCIAN 52 ('Servicios financieros y de seguros') agrupa 5 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 521 (Banca central), 522 (Instituci",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
53,SECTOR,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 53 ('Servicios inmobiliarios y de alquiler de bienes muebles e intangibles') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 531 (Servicios inmobiliarios), 532 (Servicios de alquiler de bienes muebles), 533 (Servicios de alquiler de marcas registradas, patentes y franquicias). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,Sin candidato único: El sector SCIAN 53 ('Servicios inmobiliarios y de alquiler de bienes muebles e intangibles') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: ,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
54,SECTOR,"Servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 54 ('Servicios profesionales, científicos y técnicos') contiene un único subsector (541), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Servicios profesionales, científicos y técnicos'.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
55,SECTOR,Dirección y administración de grupos empresariales o corporativos,551,Corporativos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 55 ('Dirección y administración de grupos empresariales o corporativos') contiene un único subsector (551), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Corporativos'.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
56,SECTOR,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 56 ('Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéneos entre sí: 561 (Servicios de apoyo a los negocios), 562 (Manejo de residuos y servicios de remediación). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,"Sin candidato único: El sector SCIAN 56 ('Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéne",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
61,SECTOR,Servicios educativos,611,Servicios educativos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 61 ('Servicios educativos') contiene un único subsector (611), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Servicios educativos'.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
62,SECTOR,Servicios de salud y de asistencia social,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 62 ('Servicios de salud y de asistencia social') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 621 (Servicios médicos de consulta externa y servicios relacionados), 622 (Hospitales), 623 (Residencias de asistencia social y para el cuidado de la salud), 624 (Otros servicios de asistencia social). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,Sin candidato único: El sector SCIAN 62 ('Servicios de salud y de asistencia social') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 621 (Servicios médicos de co,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
71,SECTOR,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 71 ('Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 711 (Servicios artísticos, culturales y deportivos, y otros servicios relacionados), 712 (Museos, sitios históricos, zoológicos y similares), 713 (Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,"Sin candidato único: El sector SCIAN 71 ('Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneo",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
72,SECTOR,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 72 ('Servicios de alojamiento temporal y de preparación de alimentos y bebidas') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéneos entre sí: 721 (Servicios de alojamiento temporal), 722 (Servicios de preparación de alimentos y bebidas). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,Sin candidato único: El sector SCIAN 72 ('Servicios de alojamiento temporal y de preparación de alimentos y bebidas') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéneos entre ,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
81,SECTOR,Otros servicios excepto actividades gubernamentales,,,EXPERT,REVIEW_REQUIRED,HIGH,AMBIGUOUS,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"El sector SCIAN 81 ('Otros servicios excepto actividades gubernamentales') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 811 (Servicios de reparación y mantenimiento), 812 (Servicios personales), 813 (Asociaciones y organizaciones), 814 (Hogares con empleados domésticos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real.",,,Sin candidato único: El sector SCIAN 81 ('Otros servicios excepto actividades gubernamentales') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 811 (Servicios de ,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
93,SECTOR,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",,,EXPERT,REVIEW_REQUIRED,HIGH,PARTIAL,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Los 2 subsectores que integran el sector SCIAN 93 ('Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales') convergen todos en el mismo sector SERIO ('Actividades legislativas, gubernamentales y de impartición de justicia'), por decisión metodológica de agregación (ver justificación de cada subsector). El sector completo puede heredar esta asignación sin riesgo de mezclar actividades económicamente distintas.",,,"Candidato sugerido en Crosswalk Maestro v0.1: 'Actividades legislativas, gubernamentales y de impartición de justicia' (confianza MEDIA). Requiere confirmación humana explícita (cambiar status a VERIFIED) antes de usarse en el lookup compilado.",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
111,SUBSECTOR,Agricultura,111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
112,SUBSECTOR,Cría y explotación de animales,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
113,SUBSECTOR,Aprovechamiento forestal,113,Aprovechamiento forestal,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
114,SUBSECTOR,"Pesca, caza y captura",114,"Pesca, caza y captura",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 114 ('Pesca, caza y captura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Pesca, caza y captura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
115,SUBSECTOR,Servicios relacionados con las actividades agropecuarias y forestales,115,Servicios relacionados con las actividades agropecuarias y forestales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con las actividades agropecuarias y forestales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
211,SUBSECTOR,Extracción de petróleo y gas,211,Extracción de petróleo y gas,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 211 ('Extracción de petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Extracción de petróleo y gas'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
212,SUBSECTOR,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
