"nivel_scian","codigo_scian","descripcion_scian","sector_serio","confianza","requiere_revision","justificacion"
"sector","49","Transportes, correos y almacenamiento","","BAJA","SI","El sector SCIAN 49 ('Transportes, correos y almacenamiento') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 491 (Servicios postales), 492 (Servicios de mensajería y paquetería), 493 (Servicios de almacenamiento). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","51","Información en medios masivos","","BAJA","SI","El sector SCIAN 51 ('Información en medios masivos') agrupa 6 subsectores que corresponden a 6 sectores SERIO distintos y económicamente heterogéneos entre sí: 511 (Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión), 512 (Industria fílmica y del video, e industria del sonido), 515 (Radio y televisión), 517 (Telecomunicaciones), 518 (Procesamiento electrónico de información, hospedaje y otros servicios relacionados), 519 (Otros servicios de información). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","52","Servicios financieros y de seguros","","BAJA","SI","El sector SCIAN 52 ('Servicios financieros y de seguros') agrupa 5 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 521 (Banca central), 522 (Instituciones de intermediación crediticia y financiera no bursátil), 523 (Actividades bursátiles, cambiarias y de inversión financiera), 524 (Compañías de seguros, fianzas, y administración de fondos para el retiro). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","53","Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","","BAJA","SI","El sector SCIAN 53 ('Servicios inmobiliarios y de alquiler de bienes muebles e intangibles') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 531 (Servicios inmobiliarios), 532 (Servicios de alquiler de bienes muebles), 533 (Servicios de alquiler de marcas registradas, patentes y franquicias). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","54","Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos","ALTA","NO","El sector SCIAN 54 ('Servicios profesionales, científicos y técnicos') contiene un único subsector (541), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Servicios profesionales, científicos y técnicos'."
"sector","55","Dirección y administración de grupos empresariales o corporativos","Corporativos","ALTA","NO","El sector SCIAN 55 ('Dirección y administración de grupos empresariales o corporativos') contiene un único subsector (551), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Corporativos'."
"sector","56","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación","","BAJA","SI","El sector SCIAN 56 ('Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéneos entre sí: 561 (Servicios de apoyo a los negocios), 562 (Manejo de residuos y servicios de remediación). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","61","Servicios educativos","Servicios educativos","ALTA","NO","El sector SCIAN 61 ('Servicios educativos') contiene un único subsector (611), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Servicios educativos'."
"sector","62","Servicios de salud y de asistencia social","","BAJA","SI","El sector SCIAN 62 ('Servicios de salud y de asistencia social') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 621 (Servicios médicos de consulta externa y servicios relacionados), 622 (Hospitales), 623 (Residencias de asistencia social y para el cuidado de la salud), 624 (Otros servicios de asistencia social). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","71","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","","BAJA","SI","El sector SCIAN 71 ('Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 711 (Servicios artísticos, culturales y deportivos, y otros servicios relacionados), 712 (Museos, sitios históricos, zoológicos y similares), 713 (Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","72","Servicios de alojamiento temporal y de preparación de alimentos y bebidas","","BAJA","SI","El sector SCIAN 72 ('Servicios de alojamiento temporal y de preparación de alimentos y bebidas') agrupa 2 subsectores que corresponden a 2 sectores SERIO distintos y económicamente heterogéneos entre sí: 721 (Servicios de alojamiento temporal), 722 (Servicios de preparación de alimentos y bebidas). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","81","Otros servicios excepto actividades gubernamentales","","BAJA","SI","El sector SCIAN 81 ('Otros servicios excepto actividades gubernamentales') agrupa 4 subsectores que corresponden a 4 sectores SERIO distintos y económicamente heterogéneos entre sí: 811 (Servicios de reparación y mantenimiento), 812 (Servicios personales), 813 (Asociaciones y organizaciones), 814 (Hogares con empleados domésticos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","93","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales","Actividades legislativas, gubernamentales y de impartición de justicia","MEDIA","SI","Los 2 subsectores que integran el sector SCIAN 93 ('Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales') convergen todos en el mismo sector SERIO ('Actividades legislativas, gubernamentales y de impartición de justicia'), por decisión metodológica de agregación (ver justificación de cada subsector). El sector completo puede heredar esta asignación sin riesgo de mezclar actividades económicamente distintas."
"subsector","111","Agricultura","Agricultura","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"subsector","112","Cría y explotación de animales","Cría y explotación de animales","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"subsector","113","Aprovechamiento forestal","Aprovechamiento forestal","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional."
"subsector","114","Pesca, caza y captura","Pesca, caza y captura","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 114 ('Pesca, caza y captura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Pesca, caza y captura'). No requiere inferencia económica adicional."
"subsector","115","Servicios relacionados con las actividades agropecuarias y forestales","Servicios relacionados con las actividades agropecuarias y forestales","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con las actividades agropecuarias y forestales'). No requiere inferencia económica adicional."
"subsector","211","Extracción de petróleo y gas","Extracción de petróleo y gas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 211 ('Extracción de petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Extracción de petróleo y gas'). No requiere inferencia económica adicional."
"subsector","212","Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Minería de minerales metálicos y no metálicos, excepto petróleo y gas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'). No requiere inferencia económica adicional."
"subsector","213","Servicios relacionados con la minería","Servicios relacionados con la minería","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 213 ('Servicios relacionados con la minería') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con la minería'). No requiere inferencia económica adicional."
"subsector","221","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'). No requiere inferencia económica adicional."
"subsector","236","Edificación","Edificación","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 236 ('Edificación') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Edificación'). No requiere inferencia económica adicional."
"subsector","237","Construcción de obras de ingeniería civil","Construcción de obras de ingeniería civil","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 237 ('Construcción de obras de ingeniería civil') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Construcción de obras de ingeniería civil'). No requiere inferencia económica adicional."
"subsector","238","Trabajos especializados para la construcción","Trabajos especializados para la construcción","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 238 ('Trabajos especializados para la construcción') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Trabajos especializados para la construcción'). No requiere inferencia económica adicional."
"subsector","311","Industria alimentaria","Industria alimentaria","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"subsector","312","Industria de las bebidas y del tabaco","Industria de las bebidas y del tabaco","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 312 ('Industria de las bebidas y del tabaco') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria de las bebidas y del tabaco'). No requiere inferencia económica adicional."
"subsector","313","Fabricación de insumos textiles y acabado de textiles","Fabricación de insumos textiles y acabado de textiles","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 313 ('Fabricación de insumos textiles y acabado de textiles') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de insumos textiles y acabado de textiles'). No requiere inferencia económica adicional."
"subsector","314","Fabricación de productos textiles, excepto prendas de vestir","Fabricación de productos textiles, excepto prendas de vestir","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 314 ('Fabricación de productos textiles, excepto prendas de vestir') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de productos textiles, excepto prendas de vestir'). No requiere inferencia económica adicional."
"subsector","315","Fabricación de prendas de vestir","Fabricación de prendas de vestir","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 315 ('Fabricación de prendas de vestir') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de prendas de vestir'). No requiere inferencia económica adicional."
"subsector","316","Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos","Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 316 ('Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos'). No requiere inferencia económica adicional."
"subsector","321","Industria de la madera","Industria de la madera","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 321 ('Industria de la madera') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria de la madera'). No requiere inferencia económica adicional."
"subsector","322","Industria del papel","Industria del papel","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 322 ('Industria del papel') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria del papel'). No requiere inferencia económica adicional."
"subsector","323","Impresión e industrias conexas","Impresión e industrias conexas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 323 ('Impresión e industrias conexas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Impresión e industrias conexas'). No requiere inferencia económica adicional."
"subsector","324","Fabricación de productos derivados del petróleo y del carbón","Fabricación de productos derivados del petróleo y del carbón","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 324 ('Fabricación de productos derivados del petróleo y del carbón') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de productos derivados del petróleo y del carbón'). No requiere inferencia económica adicional."
"subsector","325","Industria química","Industria química","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 325 ('Industria química') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria química'). No requiere inferencia económica adicional."
"subsector","326","Industria del plástico y del hule","Industria del plástico y del hule","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 326 ('Industria del plástico y del hule') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria del plástico y del hule'). No requiere inferencia económica adicional."
"subsector","327","Fabricación de productos a base de minerales no metálicos","Fabricación de productos a base de minerales no metálicos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 327 ('Fabricación de productos a base de minerales no metálicos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de productos a base de minerales no metálicos'). No requiere inferencia económica adicional."
"subsector","331","Industrias metálicas básicas","Industrias metálicas básicas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 331 ('Industrias metálicas básicas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industrias metálicas básicas'). No requiere inferencia económica adicional."
"subsector","332","Fabricación de productos metálicos","Fabricación de productos metálicos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 332 ('Fabricación de productos metálicos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de productos metálicos'). No requiere inferencia económica adicional."
"subsector","333","Fabricación de maquinaria y equipo","Fabricación de maquinaria y equipo","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 333 ('Fabricación de maquinaria y equipo') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de maquinaria y equipo'). No requiere inferencia económica adicional."
"subsector","334","Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 334 ('Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos'). No requiere inferencia económica adicional."
"subsector","335","Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica","Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 335 ('Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica'). No requiere inferencia económica adicional."
"subsector","336","Fabricación de equipo de transporte","Fabricación de equipo de transporte","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 336 ('Fabricación de equipo de transporte') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de equipo de transporte'). No requiere inferencia económica adicional."
"subsector","337","Fabricación de muebles, colchones y persianas","Fabricación de muebles, colchones y persianas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 337 ('Fabricación de muebles, colchones y persianas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de muebles, colchones y persianas'). No requiere inferencia económica adicional."
"subsector","339","Otras industrias manufactureras","Otras industrias manufactureras","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 339 ('Otras industrias manufactureras') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Otras industrias manufactureras'). No requiere inferencia económica adicional."
"subsector","431","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 431 ('Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco'). No requiere inferencia económica adicional."
"subsector","432","Comercio al por mayor de productos textiles y calzado","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 432 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","433","Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 433 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","434","Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 434 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","435","Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 435 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","436","Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 436 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","437","Intermediación de comercio al por mayor","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","El modelo SERIO, siguiendo el tratamiento estándar de las matrices insumo-producto y del Sistema de Cuentas Nacionales de México, modela el comercio al por mayor (sector SCIAN 43 completo) como un único sector de margen comercial, sin desagregar por tipo de mercancía comerciada. El subsector 437 queda económicamente contenido en su totalidad dentro de esa actividad de margen, por lo que se asigna al sector SERIO representativo '431' con criterio de agregación metodológica explícita (no ambigüedad de contenido, solo de nivel de agregación)."
"subsector","461","Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco","Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 461 ('Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco'). No requiere inferencia económica adicional."
